split,roc_auc,pr_auc,accuracy,precision,recall,f1
validation,0.9006008328375967,0.8832994537091952,0.8170731707317073,0.7968036529680366,0.8512195121951219,0.8231132075471698
test,0.916365258774539,0.9001383063733756,0.848780487804878,0.8055555555555556,0.9195121951219513,0.8587699316628702
