similarity_bin,n,positives,negatives,mean_similarity,roc_auc,pr_auc
<0.4,275,128,147,0.3081255516125189,0.7602040816326531,0.6632206429008558
0.4-0.5,133,86,47,0.44472623396264144,0.8551459673428994,0.860761381829792
0.5-0.6,133,76,57,0.5484057631849881,0.8695752539242845,0.852235646259283
0.6-0.7,111,66,45,0.6465970715204663,0.9479797979797979,0.9621203731734049
0.7-0.8,69,44,25,0.7394361126008497,0.9436363636363637,0.9456080795734978
0.8-0.9,30,6,24,0.8400815993941817,0.9930555555555556,0.976190476190476
>=0.9,32,4,28,0.9553020568018304,1.0,1.0
