seed,caliper,original_train_size,matched_train_size,matched_pairs,match_fraction_positive,median_match_distance,mean_match_distance,split,roc_auc,pr_auc
20260813,0.5,6627,2722,1361,0.41761276465173364,0.40593887611821317,0.38245388908970396,validation,0.8661697779344839,0.8716777357041954
20260813,0.5,6627,2722,1361,0.41761276465173364,0.40593887611821317,0.38245388908970396,test,0.8591610540770287,0.8437285106510098
20260814,0.5,6627,2686,1343,0.4120895980362074,0.4061046872988775,0.38438789644991767,validation,0.852082557964911,0.8546023233083527
20260814,0.5,6627,2686,1343,0.4120895980362074,0.4061046872988775,0.38438789644991767,test,0.9038187406002746,0.897170849394658
20260815,0.5,6628,2806,1403,0.4303680981595092,0.4110502838143385,0.38456376919671714,validation,0.8668423080187786,0.8695752742587155
20260815,0.5,6628,2806,1403,0.4303680981595092,0.4110502838143385,0.38456376919671714,test,0.8937708528615533,0.8925284601223258
20260816,0.5,6627,2600,1300,0.39889536667689474,0.40637934629152994,0.3857668904290967,validation,0.8623206858500976,0.86293065841702
20260816,0.5,6627,2600,1300,0.39889536667689474,0.40637934629152994,0.3857668904290967,test,0.8527953965866737,0.8549572550389021
20260817,0.5,6629,2764,1382,0.42392638036809815,0.4042313671247135,0.3814457844841588,validation,0.8426801956213721,0.8355986155118622
20260817,0.5,6629,2764,1382,0.42392638036809815,0.4042313671247135,0.3814457844841588,test,0.8631694139916397,0.8488211239151677
