seed,train_size,test_size,rf_roc_auc,rf_pr_auc,lr_roc_auc,lr_pr_auc,matched_roc_auc,matched_pr_auc,delta_roc_auc,delta_pr_auc,relative_roc_change_pct,relative_pr_change_pct
20260813,6627,783,0.877064670110508,0.8502877318350864,0.8383672268358073,0.8290801817354924,0.8591610540770287,0.8437285106510098,-0.01790361603347934,-0.006559221184076591,-2.041310822749653,-0.7714119513309353
20260814,6627,783,0.9194043026221148,0.9092561514877612,0.8706532400444648,0.8592998654182418,0.9038187406002746,0.897170849394658,-0.015585562021840249,-0.012085302093103212,-1.6951804529727208,-1.3291416366365802
20260815,6628,782,0.9105088589838554,0.90515709194988,0.8687244767529514,0.8526144853055156,0.8937708528615533,0.8925284601223258,-0.01673800612230203,-0.012628631827554249,-1.8383133735768318,-1.3951867515449479
20260816,6627,783,0.8679690054273197,0.8523490191735961,0.8277251029882954,0.8275291245276781,0.8527953965866737,0.8549587527865201,-0.015173608840646002,0.002609733612924048,-1.7481740414423796,0.3061813358399054
20260817,6629,781,0.8868075820911216,0.8702025861109267,0.8536622236243658,0.8585680748433102,0.8631694139916397,0.8488211239151677,-0.023638168099481938,-0.021381462195758982,-2.665535182248031,-2.4570671860809017
