seed,train_size,test_size,rf_roc_auc,rf_pr_auc,lr_roc_auc,lr_pr_auc
20260813,6627,783,0.877064670110508,0.8502877318350864,0.8383672268358073,0.8290801817354924
20260814,6627,783,0.9194043026221148,0.9092561514877613,0.8706532400444648,0.8592998654182418
20260815,6628,782,0.9105088589838554,0.9051570919498799,0.8687244767529514,0.8526144853055156
20260816,6627,783,0.8679690054273197,0.8523476994710071,0.8277251029882954,0.8275291245276781
20260817,6629,781,0.8868075820911216,0.8702025861109267,0.8536622236243658,0.8585680748433102
