metric,point_estimate,bootstrap_mean,ci_lower,ci_upper,bootstrap_sd
roc_auc,0.47007893371206944,0.4709189145596273,0.38713457114689453,0.5549318427717261,0.04300439390348763
pr_auc,0.9518063036514685,0.9525603288967346,0.931256857184936,0.9715423013994472,0.010253826333747119
accuracy,0.7794432548179872,0.7798278372591007,0.7537473233404711,0.8051391862955032,0.013324098170040568
f1,0.875453446191052,0.8756300732994275,0.8587114210591648,0.89179548156956,0.008463375493570121
