seed,descriptor,smd_before,smd_after
20260813,molecular_weight,-0.2966396424711002,-0.0014619879894407048
20260813,heavy_atoms,-0.30118500953675914,-0.030439469717675204
20260813,hbd,-0.3086612999360309,-0.014341403500292092
20260813,hba,-0.3806738820869804,-0.05592997809515457
20260813,rotatable_bonds,-0.34324158148232087,0.049640138931914324
20260813,rings,-0.0028279583743491435,0.0
20260813,aromatic_rings,0.42670464594322544,0.0
20260813,fraction_csp3,-0.47821281461375253,0.0022357179984005154
20260813,logp,0.20181230167938524,0.006791237871249873
20260814,molecular_weight,-0.2980403725759109,-0.0028197716049160864
20260814,heavy_atoms,-0.30244871318701166,-0.031918489756878304
20260814,hbd,-0.32312105973347843,-0.029233843579605744
20260814,hba,-0.3788906836894968,-0.06075274895947503
20260814,rotatable_bonds,-0.3448859001656523,0.05403198610228861
20260814,rings,0.0015936049517786565,0.0
20260814,aromatic_rings,0.42759868225170494,0.0
20260814,fraction_csp3,-0.46929321141041613,0.00307680908313776
20260814,logp,0.21881757686885367,0.010124456233443215
20260815,molecular_weight,-0.2900788395273381,-0.004769748294676732
20260815,heavy_atoms,-0.2943033832649028,-0.03658247138210422
20260815,hbd,-0.30171675008440313,-0.016893037248581263
20260815,hba,-0.37541175065286725,-0.06015524342544865
20260815,rotatable_bonds,-0.3311369841294199,0.057503833695336064
20260815,rings,-0.009581223787165671,0.0
20260815,aromatic_rings,0.41839185028255493,0.0
20260815,fraction_csp3,-0.4772718903773889,0.003773335290409695
20260815,logp,0.20585404924476358,0.005140173739631243
20260816,molecular_weight,-0.3054633284417565,0.002514687950653012
20260816,heavy_atoms,-0.3120578626044776,-0.024653386004981875
20260816,hbd,-0.31928381649171894,-0.013397701139223672
20260816,hba,-0.3825914174092427,-0.05504073616196512
20260816,rotatable_bonds,-0.36529537861744754,0.040993005046488944
20260816,rings,0.002583698464081362,0.0
20260816,aromatic_rings,0.4213131419683946,0.0
20260816,fraction_csp3,-0.47675109566641133,0.0036830254845382432
20260816,logp,0.20283466045032852,0.004159124845293774
20260817,molecular_weight,-0.28065001309816767,-0.0024236180364785313
20260817,heavy_atoms,-0.2859474121311421,-0.03689586682635615
20260817,hbd,-0.29166571962132964,-0.01305734291350159
20260817,hba,-0.3642451425119457,-0.05785159519465822
20260817,rotatable_bonds,-0.3242845290648988,0.058341717747246
20260817,rings,0.0068579522161639666,0.0
20260817,aromatic_rings,0.41068802079583305,0.0
20260817,fraction_csp3,-0.45839588356074906,0.007016786916034126
20260817,logp,0.1863209692026323,0.0015300490572743646
