seed,descriptor,smd_before,smd_after
20260813,molecular_weight,-0.2966396424711002,-0.2027167563314435
20260813,heavy_atoms,-0.30118500953675914,-0.20957973353907935
20260813,hbd,-0.3086612999360309,-0.2021401103393315
20260813,hba,-0.3806738820869804,-0.29143648595040583
20260813,rotatable_bonds,-0.34324158148232087,-0.2826997236433069
20260813,rings,-0.0028279583743491435,0.1154780915892869
20260813,aromatic_rings,0.42670464594322544,0.3986755732831601
20260813,fraction_csp3,-0.47821281461375253,-0.438051271404063
20260813,logp,0.20181230167938524,0.06903164537252662
20260814,molecular_weight,-0.2980403725759109,-0.2027318384438575
20260814,heavy_atoms,-0.30244871318701166,-0.20941480615746094
20260814,hbd,-0.32312105973347843,-0.21944531324978964
20260814,hba,-0.3788906836894968,-0.29012500529988244
20260814,rotatable_bonds,-0.3448859001656523,-0.28314998961885623
20260814,rings,0.0015936049517786565,0.12394181085498109
20260814,aromatic_rings,0.42759868225170494,0.3998155956231316
20260814,fraction_csp3,-0.46929321141041613,-0.42907594483417827
20260814,logp,0.21881757686885367,0.08895146974981305
20260815,molecular_weight,-0.2900788395273381,-0.19786616829795606
20260815,heavy_atoms,-0.2943033832649028,-0.2043437140490937
20260815,hbd,-0.30171675008440313,-0.19636049593638302
20260815,hba,-0.37541175065286725,-0.2852870056402746
20260815,rotatable_bonds,-0.3311369841294199,-0.27278794261534756
20260815,rings,-0.009581223787165671,0.10728805030280035
20260815,aromatic_rings,0.41839185028255493,0.39058457333313096
20260815,fraction_csp3,-0.4772718903773889,-0.4373870294591381
20260815,logp,0.20585404924476358,0.07598301833399103
20260816,molecular_weight,-0.3054633284417565,-0.2131969678889204
20260816,heavy_atoms,-0.3120578626044776,-0.22220693579004963
20260816,hbd,-0.31928381649171894,-0.21589617177402878
20260816,hba,-0.3825914174092427,-0.297009542829348
20260816,rotatable_bonds,-0.36529537861744754,-0.3046761874842163
20260816,rings,0.002583698464081362,0.11953342720708311
20260816,aromatic_rings,0.4213131419683946,0.39335257118484607
20260816,fraction_csp3,-0.47675109566641133,-0.43665968857385207
20260816,logp,0.20283466045032852,0.06739397232413538
20260817,molecular_weight,-0.28065001309816767,-0.1924898958214952
20260817,heavy_atoms,-0.2859474121311421,-0.2000782651041008
20260817,hbd,-0.29166571962132964,-0.19251484192671714
20260817,hba,-0.3642451425119457,-0.27837198523284196
20260817,rotatable_bonds,-0.3242845290648988,-0.2652636752868675
20260817,rings,0.0068579522161639666,0.11196477051606701
20260817,aromatic_rings,0.41068802079583305,0.382369615168605
20260817,fraction_csp3,-0.45839588356074906,-0.41887469691725787
20260817,logp,0.1863209692026323,0.06618212925881004
